materials  IE_A  IE_B  X_A  X_B  xA  xB  Vcell_over_Vatom
LiH                   5.39100  13.59000  0.98000  2.20000  0.50000  0.50000  0.53093
NaH                   5.13800  13.59000  0.93000  2.20000  0.50000  0.50000  0.65488
KI                    4.34000  10.45000  0.82000  2.66000  0.50000  0.50000  0.52618
LiI                   5.39100  10.45000  0.98000  2.66000  0.50000  0.50000  0.36009
NaI                   5.13800  10.45000  0.93000  2.66000  0.50000  0.50000  0.44996
RbI                   4.17600  10.45000  0.82000  2.66000  0.50000  0.50000  0.56542
MgO                   7.64500  13.61000  1.31000  3.44000  0.50000  0.50000  0.69599
MgSe                  7.64500  9.75200  1.31000  2.55000  0.50000  0.50000  0.46592
SrO                   5.69500  13.61000  0.95000  3.44000  0.50000  0.50000  0.93067
SrSe                  5.69500  9.75200  0.95000  2.55000  0.50000  0.50000  0.63416
SrTe                  5.69500  9.00900  0.95000  2.10000  0.50000  0.50000  0.56964
KCl                   4.34000  12.96000  0.82000  3.16000  0.50000  0.50000  0.63650
CaO                   6.11200  13.61000  1.00000  3.44000  0.50000  0.50000  0.86408
NaCl                  5.13800  12.96000  0.93000  3.16000  0.50000  0.50000  0.53194
KF                    4.34000  17.42000  0.82000  3.98000  0.50000  0.50000  0.92005
TlBr                  6.10800  11.81000  1.62000  2.96000  0.50000  0.50000  0.28092
CoO                   7.88000  13.61000  1.88000  3.44000  0.50000  0.50000  0.49515
FeO                   7.90200  13.61000  1.83000  3.44000  0.50000  0.50000  0.54451
GdN                   6.15000  14.53000  1.20000  3.04000  0.50000  0.50000  1.06360
EuS                   5.67000  10.36000  1.18000  2.58000  0.50000  0.50000  0.69891
EuSe                  5.67000  9.75200  1.18000  2.55000  0.50000  0.50000  0.66849
MnO                   7.43400  13.61000  1.55000  3.44000  0.50000  0.50000  0.56912
MnSe                  7.43400  9.75200  1.55000  2.55000  0.50000  0.50000  0.45935
SiC                   8.15100  11.26000  1.90000  2.55000  0.50000  0.50000  0.36603
Eu4As3                5.67000  9.81400  1.18000  2.18000  0.57100  0.42900  0.77334
Eu3S4                 5.67000  10.36000  1.18000  2.58000  0.42900  0.57100  0.75313
CoF2                  7.88000  17.42000  1.88000  3.98000  0.33300  0.66700  0.28065
FeF2                  7.90200  17.42000  1.83000  3.98000  0.33300  0.66700  0.28732
MnF2                  7.43400  17.42000  1.55000  3.98000  0.33300  0.66700  0.32572
NiF2                  7.63900  17.42000  1.91000  3.98000  0.33300  0.66700  0.28643
VF2                   6.74600  17.42000  1.63000  3.98000  0.33300  0.66700  0.44318
MgF2                  7.64500  17.42000  1.31000  3.98000  0.33300  0.66700  0.40840
GeO2                  7.89700  13.61000  2.01000  3.44000  0.33300  0.66700  0.34925
SnO2                  7.34400  13.61000  1.96000  3.44000  0.33300  0.66700  0.38181
TiO2                  6.82700  13.61000  1.54000  3.44000  0.33300  0.66700  0.62751
AgI                   7.57600  10.45000  1.93000  2.66000  0.50000  0.50000  0.35068
AlN                   5.98500  14.53000  1.61000  3.04000  0.50000  0.50000  0.42720
BeO                   9.32200  13.61000  1.57000  3.44000  0.50000  0.50000  0.35514
CdSe                  8.99400  9.75200  1.69000  2.55000  0.50000  0.50000  0.35149
GaN                   5.99800  14.53000  1.81000  3.04000  0.50000  0.50000  0.40253
InN                   5.78600  14.53000  1.78000  3.04000  0.50000  0.50000  0.43579
